Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,377.765656,391.076996,377.289948,390.281982,390.281982,1553846706
2022-05-02,390.261261,392.216705,382.774414,389.670654,389.670654,1388077917
2022-05-03,389.634155,391.754761,380.346222,383.475800,383.475800,1295877765
2022-05-04,383.483551,402.862701,383.428040,402.502655,402.502655,1714496792
2022-05-05,402.465210,412.400360,372.552765,378.773621,378.773621,2389487319
2022-05-06,378.756744,382.681091,371.973328,379.304291,379.304291,1834770716
2022-05-07,379.288177,380.387421,361.195587,365.684113,365.684113,1527960119
2022-05-08,365.733002,366.509583,351.143768,355.398743,355.398743,1875845651
2022-05-09,355.377411,358.950714,299.348938,299.348938,299.348938,2943374129
2022-05-10,298.820709,332.438843,290.586792,319.326965,319.326965,3210603809
2022-05-11,319.122772,322.766815,262.620453,269.962769,269.962769,3870618668
2022-05-12,269.888000,283.475128,216.361496,269.407257,269.407257,4739990237
2022-05-13,269.142731,312.688782,265.709595,290.584198,290.584198,2774121165
2022-05-14,290.618073,298.802856,272.651154,297.387604,297.387604,1884570404
2022-05-15,297.397369,312.176544,286.643768,312.007721,312.007721,1611088257
2022-05-16,312.084137,312.144257,290.461823,297.710114,297.710114,1754184298
2022-05-17,297.699310,310.194458,296.961792,305.963440,305.963440,1584497815
2022-05-18,305.989868,307.711456,287.438782,287.438782,287.438782,1520090732
2022-05-19,287.450470,307.959808,287.214600,306.791565,306.791565,1646882950
2022-05-20,306.781067,315.273865,294.760803,302.359222,302.359222,1756670714
2022-05-21,302.365936,313.660156,300.130066,312.466034,312.466034,1318736979
2022-05-22,312.488037,322.857025,311.827332,319.609009,319.609009,1604297406
2022-05-23,319.517120,336.307526,316.349731,316.760559,316.760559,2228144099
2022-05-24,316.850830,329.818665,313.550903,328.189331,328.189331,2002782969
2022-05-25,328.195679,336.666046,324.548553,325.734802,325.734802,2008481372
2022-05-26,325.755280,330.892334,298.786591,304.963928,304.963928,2686414043
2022-05-27,304.790833,308.864929,292.141876,300.972046,300.972046,2593113824
